Index,Source of the Prompt,Prompt (LLM input),paragraph,"which 
LLM? ","need_check
",isHallucination,search_query 
46,"מבחני לשכה, דין מהותי, אפריל 25","אם שהיתי במעצר מאחורי סורג ובריח במשך 6 חודשים ולאחר מכן שהיתי במעצר בית בפיקוח אלקטרוני במשך 8 חודשים, וכעת עומד להיגזר דיני לאחר שהורשעתי בגין עבירת פשע חמורה, כמה חודשים ינוכו בכל מקרה מעונש המאסר בפועל שיושת עלי?","במקרה שתיארת – שהייה 6 חודשים במעצר מאחורי סורג ובריח ו-8 חודשים במעצר בית באיזוק אלקטרוני – השאלה של כמה ינוכה מעונש המאסר בפועל תלויה בפרשנות החוקית הנוכחית והפסיקה הרלוונטית.
לגבי 6 חודשי המעצר בפועל (בכלא) – נזקפים באופן מלא לעונש המאסר. כלומר, אם ייגזרו עליך למשל 24 חודשי מאסר, אז בפועל תצטרך לרצות רק 18 חודשים.
לגבי 8 חודשי האיזוק האלקטרוני, המצב מורכב יותר: לפי סעיף 77 לחוק העונשין, ניתן לנכות גם תקופות שבהן אדם היה תחת מגבלות חופש חמורות אחרות, בהחלטת בית המשפט. בתי המשפט אינם מחויבים לנכות את מלוא התקופה של מעצר הבית באיזוק אלקטרוני, אלא שוקלים כל מקרה לגופו – כולל רמת ההגבלה, תנאים נלווים (כמו ליווי צמוד, שעות יציאה, תנאים רפואיים), והאם הייתה הפרה של תנאי המעצר.
בפועל, הפסיקה נוטה לעיתים להכיר בתקופת איזוק אלקטרוני כתקופה המזכה בניכוי חלקי או מלא – אך אין לכך חובה אוטומטית כמו במעצר מאחורי סורג ובריח.
אם כן, ינוכו לך בוודאות 6 חודשים, ובנוגע ל-8 החודשים הנוספים – עורך דינך יוכל לטעון לניכוי מלא או חלקי בהתאם לנסיבות.",GROK,1,0,ניכוי תקופת מעצר בפועל מעונש מאסר סעיף 77 חוק העונשין $!$ ניכוי תקופת מעצר בית באיזוק אלקטרוני מפסקי דין $!$ פסיקה על ניכוי איזוק אלקטרוני מעונש מאסר
47,"מבחני לשכה, דין מהותי, אפריל 25","אם שהיתי במעצר מאחורי סורג ובריח במשך 6 חודשים ולאחר מכן שהיתי במעצר בית בפיקוח אלקטרוני במשך 8 חודשים, וכעת עומד להיגזר דיני לאחר שהורשעתי בגין עבירת פשע חמורה, כמה חודשים ינוכו בכל מקרה מעונש המאסר בפועל שיושת עלי?","על פי החוק בישראל, יש להפחית מתקופת המאסר בפועל שתושת עליך את התקופות שבהן שהית במעצר.
במקרה שלך:
מעצר מאחורי סורג ובריח: 6 חודשים
מעצר בית בפיקוח אלקטרוני (איזוק אלקטרוני): 8 חודשים
סך הכל תקופת המעצר שתנוכה מהמאסר בפועל היא 14 חודשים.",Gemini,1,1,ניכוי מעצר מהמאסר בפועל בישראל $!$ ניכוי מעצר בית בפיקוח אלקטרוני מהמאסר $!$ פסיקה ניכוי תקופת מעצר חוק העונשין
48,"מבחני לשכה, דין מהותי, אפריל 25",,"חשוב לדעת:
בית המשפט חייב לנכות את כל תקופות המעצר, בין אם במתקן כליאה ובין אם במעצר בית עם פיקוח אלקטרוני.
הניכוי מתבצע בפועל מכל תקופת מאסר שתגזר עליך, כולל מאסר על תנאי שהופעל.
אם יש לך שאלות נוספות לגבי גזר הדין או השלכותיו, מומלץ להתייעץ עם עורך הדין המטפל בתיקך.",Gemini,1,1,ניכוי תקופת מעצר מגזר דין מאסר בישראל $!$ ניכוי מעצר בית עם פיקוח אלקטרוני מגזר דין מאסר $!$ ניכוי מאסר על תנאי שהופעל בפועל בישראל
49,"מבחני לשכה, דין מהותי, אפריל 25","האם ניתן להרשיע אדם בביצוע עבירה פלילית ללא הוכחת יסוד נפשי מסוג ""מחשבה פלילית""?","בדין הפלילי הישראלי, הרשעה בעבירה פלילית דורשת בדרך כלל הוכחת שני יסודות: יסוד עובדתי (actus reus) ויסוד נפשי (mens rea). היסוד הנפשי מתייחס לכוונה או למודעות של העבריין ביחס למעשה ולתוצאותיו, ו""מחשבה פלילית"" היא אחת הצורות של היסוד הנפשי (לצד רשלנות או אחריות קפידה במקרים מסוימים).
עם זאת, ישנם מקרים חריגים שבהם ניתן להרשיע אדם ללא הוכחת ""מחשבה פלילית"" מלאה.",GROK,1,0,הרשעה פלילית ללא הוכחת מחשבה פלילית בישראל $!$ יסוד נפשי בדין הפלילי הישראלי actus reus mens rea
50,"מבחני לשכה, דין מהותי, אפריל 25",,"עבירות קפידה (Strict Liability): בעבירות מסוימות, כגון עבירות תעבורה או עבירות מנהליות (למשל, הפרת חוקי תברואה), אין צורך להוכיח כוונה פלילית או מודעות, אלא רק את ביצוע המעשה. די בהוכחת היסוד העובדתי כדי להרשיע. לדוגמה, נהיגה במהירות מופרזת יכולה להוביל להרשעה גם אם הנהג לא התכוון להפר את החוק.
עבירות ברשלנות: בחלק מהעבירות, כמו גרימת מוות ברשלנות (סעיף 304 לחוק העונשין), היסוד הנפשי הנדרש הוא רשלנות ולא ""מחשבה פלילית"" (כוונה או מודעות). במקרים אלה, יש להוכיח שהנאשם לא נקט בזהירות סבירה, מה שהוביל לתוצאה הפלילית.
הגנות משפטיות: במקרים מסוימים, גם אם לא הוכחה מחשבה פלילית, ניתן להרשיע אם הנאשם לא עומד בתנאים של הגנה משפטית (כגון טעות או כורח). עם זאת, זה לא שולל את הצורך ביסוד נפשי כלשהו ברוב המקרים.
לסיכום, ברוב העבירות הפליליות בישראל נדרשת הוכחת יסוד נפשי, אך בעבירות קפידה או עבירות המבוססות על רשלנות, ניתן להרשיע ללא הוכחת ""מחשבה פלילית"" מלאה. חשוב לבחון כל עבירה ספציפית על פי הגדרתה בחוק העונשין, התשל""ז-1977, והפסיקה הרלוונטית.",GROK,1,0,"עבירות קפידה בישראל תעבורה תברואה ללא כוונה פלילית $!$ סעיף 304 לחוק העונשין גרימת מוות ברשלנות יסוד נפשי $!$ האם ניתן להרשיע ללא מחשבה פלילית בעבירות בישראל $!$ דרישת יסוד נפשי בעבירות לפי חוק העונשין התשל""ז-1977"
51,"מבחני לשכה, דין מהותי, אפריל 25","האם ניתן להרשיע אדם בביצוע עבירה פלילית ללא הוכחת יסוד נפשי מסוג ""מחשבה פלילית""?","ככלל, לא ניתן להרשיע אדם בעבירה פלילית ללא הוכחת מחשבה פלילית, שכן דרישת היסוד הנפשי היא עקרון יסוד בדין הפלילי (לפי סעיף 19 לחוק העונשין). עם זאת, ישנם חריגים – בעיקר עבירות של אחריות קפידה ורשלנות – בהן ניתן להרשיע גם ללא הוכחת כוונה פלילית, אך הנאשם יכול להוכיח כי לא הייתה לו אשמה.",GPT,1,0,סעיף 19 לחוק העונשין דרישת יסוד נפשי בעבירות פליליות $!$ אחריות קפידה ורשלנות בדין הפלילי בישראל $!$ הוכחת מחשבה פלילית ועבירות ללא יסוד נפשי
52,"מבחני לשכה, דין מהותי, אפריל 25","שגיא שכר את שירותיו של עורך דין איתן לטיפול בתביעה נזיקית שהגיש נגד חברת ""המצליח"" בבית משפט השלום בחיפה. במסגרת התכתבות באפליקציית מסרים בטלפון התפאר שגיא בפני עו""ד איתן כי לפני שנים גנב כספים ממעסיקתו הקודמת, חברת ""שוק"". לאחר שבוע זומן עו""ד איתן לחקירה במשטרה על אירוע הגניבה של שגיא מחברת שוק. כיצד עו""ד איתן צריך לפעול ובאילו תנאים יוכל לחשוף את ההתכתבויות?","חובת סודיות עורך דין וגבולותיה
עו""ד איתן חייב לשמור על סודיות מוחלטת לגבי דבריו של שגיא על הגניבה. מידע זה חוסה תחת חיסיון עורך דין-לקוח, הקבוע בסעיף 90 לחוק לשכת עורכי הדין, התשכ""א-1961. החיסיון נועד לאפשר ללקוח לחשוף את כל הפרטים בפני עורך דינו ללא חשש, על מנת לקבל ייעוץ משפטי יעיל.
דרך הפעולה הנדרשת
1. שמירה על זכות השתיקה בחקירה: עו""ד איתן אינו רשאי למסור מידע מההתכתבות למשטרה, גם כשייחקר. עליו להסביר כי המידע חסוי מכוח החוק.
2. התייעצות אתית: על עו""ד איתן להתייעץ בדחיפות עם עורך דין מומחה לדיני אתיקה מקצועית.",Gemini,1,1,חיסיון עורך דין לקוח סעיף 90 חוק לשכת עורכי הדין $!$ חובת סודיות עורך דין בישראל גבולות החיסיון $!$ האם עורך דין חייב למסור מידע בחקירה פלילית
53,"מבחני לשכה, דין מהותי, אפריל 25","שגיא שכר את שירותיו של עורך דין איתן לטיפול בתביעה נזיקית שהגיש נגד חברת ""המצליח"" בבית משפט השלום בחיפה. במסגרת התכתבות באפליקציית מסרים בטלפון התפאר שגיא בפני עו""ד איתן כי לפני שנים גנב כספים ממעסיקתו הקודמת, חברת ""שוק"". לאחר שבוע זומן עו""ד איתן לחקירה במשטרה על אירוע הגניבה של שגיא מחברת שוק. כיצד עו""ד איתן צריך לפעול ובאילו תנאים יוכל לחשוף את ההתכתבויות?","עו""ד איתן מחויב לשמור על חיסיון עו""ד-לקוח לפי כללי לשכת עורכי הדין (אתיקה מקצועית), התשמ""ו-1986, סעיף 19, וחוק לשכת עורכי הדין, התשכ""א-1961, סעיף 90. החיסיון חל על כל תקשורת בין עו""ד ללקוחו שנעשתה במסגרת הייצוג המשפטי, כולל התכתבויות באפליקציית מסרים, כל עוד יש להן קשר עניני לשירות המקצועי שנתן עורך הדין ללקוח. במקרה זה, ההתפארות של שגיא בגניבה אינה קשורה ישירות לתביעה הנזיקית נגד ""המצליח"", ולכן עורך הדין יוכל לחשוף את התכתבויותיו עם הלקוח בפני החוקר המשטרתי",GPT,1,0,"כללי לשכת עורכי הדין התשמ""ו-1986 סעיף 19 חיסיון עורך דין-לקוח $!$ חוק לשכת עורכי הדין התשכ""א-1961 סעיף 90 $!$ חשיפת חיסיון עורך דין-לקוח בהתכתבויות באפליקציות מסרים"
54,"מבחני לשכה, דין מהותי, אפריל 25",רונן הכה את מירה בפניה ביום 30.06.2013 ומעוצמת המכה נשברו שתי שיניים בפיה. ביום 1.1.2020 הגישה מירה תביעת נזקי גוף נגד רונן. ביום 10.09.2024 נמחקה התובענה מחמת חוסר מעש של מירה. ביום 12.09.2024 מעוניינת מירה לחדש את תביעתה נגד רונן. האם מירה יכולה לחדש את התביעה? אם כן - עד מתי?,"על מנת לקבוע האם מירה יכולה לחדש את תביעתה נגד רונן, יש לבחון את דיני ההתיישנות בישראל, החלים על תביעות נזקי גוף, וכן את ההשלכות של מחיקת התביעה מחמת חוסר מעש.",GROK,0,0,
55,"מבחני לשכה, דין מהותי, אפריל 25",,"על פי חוק ההתיישנות, התשי""ח-1958, תקופת ההתיישנות בתביעות נזקי גוף היא 7 שנים מיום האירוע שגרם לנזק (סעיף 5(1) לחוק). במקרה זה, האירוע התרחש ב-30.06.2013, ולכן תקופת ההתיישנות הסתיימה ב-30.06.2020.",GROK,1,0,"חוק ההתיישנות, התשי""ח-1958 סעיף 5(1) תקופת התיישנות בתביעות נזקי גוף $!$ תקופת התיישנות בתביעות נזקי גוף בישראל 2025"
56,"מבחני לשכה, דין מהותי, אפריל 25",,"מירה הגישה את התביעה הראשונית ב-1.1.2020, כלומר בתוך תקופת ההתיישנות, ולכן התביעה הוגשה כדין.
השפעת הגשת התביעה על ההתיישנות - כאשר תביעה מוגשת בתוך תקופת ההתיישנות, ההתיישנות נעצרת (""נקטעת"") לעניין אותה תביעה (סעיף 16 לחוק ההתיישנות). כלומר, הגשת התביעה ב-1.1.2020 עצרה את מרוץ ההתיישנות עבור התביעה המקורית.",GROK,1,0,"חוק ההתיישנות, התשי""ח-1958 סעיף 16 $!$ עצירת התיישנות בהגשת תביעה סעיף 16 לחוק ההתיישנות"
57,"מבחני לשכה, דין מהותי, אפריל 25",,"מחיקת התביעה מחמת חוסר מעש - התביעה נמחקה ב-10.09.2024 מחמת חוסר מעש. על פי ההלכה הפסוקה בישראל (למשל, ע""א 360/83 מלון רות נ' ששון), מחיקת תביעה מחמת חוסר מעש אינה מבטלת את קטיעת ההתיישנות שנגרמה על ידי הגשת התביעה המקורית, בתנאי שהתובע מגיש תביעה חדשה תוך זמן סביר לאחר המחיקה.",GROK,1,1,"ע""א 360/83 מלון רות נ' ששון $!$ מחיקת תביעה מחמת חוסר מעש והתיישנות $!$ קטיעת התיישנות בהגשת תביעה ראשונית"
58,"מבחני לשכה, דין מהותי, אפריל 25",רונן הכה את מירה בפניה ביום 30.06.2013 ומעוצמת המכה נשברו שתי שיניים בפיה. ביום 1.1.2020 הגישה מירה תביעת נזקי גוף נגד רונן. ביום 10.09.2024 נמחקה התובענה מחמת חוסר מעש של מירה. ביום 12.09.2024 מעוניינת מירה לחדש את תביעתה נגד רונן. האם מירה יכולה לחדש את התביעה? אם כן - עד מתי?,"ראשית, נבחן את תקופת ההתיישנות המקורית:
סוג התביעה: תביעת נזקי גוף (שבירת שיניים) היא תביעת נזיקין.
מועד האירוע: 30.06.2013.
תקופת התיישנות כללית לנזקי גוף בישראל: 7 שנים מיום שנוצרה עילת התביעה (סעיף 5(1) לחוק ההתיישנות, תשי""ח-1958).
מועד סיום ההתיישנות המקורי: 30.06.2013 + 7 שנים = 30.06.2020.",Gemini,1,0,"תקופת ההתיישנות בתביעת נזקי גוף בישראל $!$ סעיף 5(1) חוק ההתיישנות תשי""ח-1958 $!$ התיישנות תביעת נזיקין שבירת שיניים"
59,"מבחני לשכה, דין מהותי, אפריל 25",,"כעת, נבחן את השפעת הגשת התביעה ומחיקתה: 
הגשת התביעה הראשונה: מירה הגישה את התביעה ב-01.01.2020, לפני תום תקופת ההתיישנות המקורית (שנסתיימה ב-30.06.2020). הגשה זו עוצרת את מרוץ ההתיישנות.
מחיקת התביעה: התביעה נמחקה ב-10.09.2024 מחמת חוסר מעש של מירה.
חידוש תביעה לאחר מחיקה: סעיף 15 לחוק ההתיישנות קובע כי אם הוגשה תובענה תוך תקופת ההתיישנות ונדחתה או בוטלה מסיבה שאינה קשורה למהותה (למשל, מחיקה מחוסר מעש), רשאי התובע להגיש תובענה חדשה בתוך שנה מיום הדחייה או הביטול, או תוך תקופת ההתיישנות המקורית, לפי המאוחר.",Gemini,1,0,סעיף 15 חוק ההתיישנות מחיקת תביעה וחידוש $!$ עצירת מרוץ ההתיישנות עקב הגשת תביעה $!$ הגשת תובענה מחדש לאחר מחיקה מחוסר מעש
60,"מבחני לשכה, דין מהותי, אפריל 25",רונן הכה את מירה בפניה ביום 30.06.2013 ומעוצמת המכה נשברו שתי שיניים בפיה. ביום 1.1.2020 הגישה מירה תביעת נזקי גוף נגד רונן. ביום 10.09.2024 נמחקה התובענה מחמת חוסר מעש של מירה. ביום 12.09.2024 מעוניינת מירה לחדש את תביעתה נגד רונן. האם מירה יכולה לחדש את התביעה? אם כן - עד מתי?,"כדי להשיב על השאלה האם מירה יכולה לחדש את תביעתה נגד רונן, יש לבחון את דיני ההתיישנות החלים על תביעת נזקי גוף, וכן את ההשפעה של מחיקת התביעה והאפשרות להגישה מחדש.",GPT,0,0,
61,"מבחני לשכה, דין מהותי, אפריל 25",,"תקופת ההתיישנות בתביעת נזקי גוף - לפי סעיף 5 לחוק ההתיישנות, תשי""ח-1958, תקופת ההתיישנות בתביעה אזרחית רגילה היא 7 שנים מיום היווצרות העילה. עם זאת, לפי סעיף 89(2) לפקודת הנזיקין [נוסח חדש], בתביעות נזקי גוף – תקופת ההתיישנות לא תעלה על 10 שנים מיום המעשה שגרם לנזק, גם אם הנזק התגלה מאוחר יותר.
במקרה שלנו: המעשה המזיק התרחש ביום 30.06.2013, ולכן המועד האחרון להגשת תביעת נזקי גוף הוא לכל המאוחר 30.06.2023.",GPT,1,1,"סעיף 5 לחוק ההתיישנות תשי""ח-1958 תקופת התיישנות בתביעת נזקי גוף $!$ סעיף 89(2) לפקודת הנזיקין נוסח חדש תקופת התיישנות בתביעות נזקי גוף $!$ מועד אחרון להגשת תביעת נזקי גוף בישראל"
62,"מבחני לשכה, דין מהותי, אפריל 25",,"מחיקת התביעה ביום 10.09.2024 - כאשר תביעה נמחקת (ולא נדחית), ניתן להגיש אותה מחדש, אך כפוף לדיני ההתיישנות. ברגע שהתביעה נמחקת, ההגשה החדשה של אותה תביעה אינה נחשבת כהמשך ההליך הקודם, אלא כהגשה חדשה לגמרי – ולכן נבחנת שוב שאלת ההתיישנות.
כלומר: אם התביעה נמחקה לאחר תום תקופת ההתיישנות (30.06.2023) – לא ניתן להגיש אותה מחדש, גם אם הוגשה במקור בזמן.",GPT,1,1,מחיקת תביעה והגשה מחדש דיני התיישנות בישראל $!$ האם מחיקת תביעה משפיעה על תקופת ההתיישנות $!$ הגשת תביעה מחדש לאחר מחיקה והתיישנות
63,"מבחני לשכה, דין מהותי, אפריל 25",דוד הלך לעבודה וכשחזר לביתו לאחר 10 שעות נדהם לגלות כי משפחה של חסרי בית פלשה לדירתו. האם יכול בעל הבית להשתמש בכוח סביר כדי לפנות את הפולשים?,"כן, מכיוון שעברו רק 10 שעות בעל הבית יכול להשתמש בכוח סביר כדי לפנות את הפולשים מביתו.
לפי סעיף 18(ב) לחוק המקרקעין, המחזיק במקרקעין כדין רשאי, תוך שלושים ימים מיום התפיסה שלא כדין, להשתמש בכוח במידה סבירה כדי להוציא את הפולשים מהם. במקרה שלנו, הפלישה התרחשה בזמן שהיה בעבודה, והוא גילה אותה לאחר 10 שעות בלבד. פרק זמן זה נמצא באופן מובהק בתוך 30 הימים שקובע החוק, ולכן הזכות לפעול בכוח סביר עדיין עומדת לו.",Gemini,1,0,חוק המקרקעין סעיף 18(ב) כוח סביר פינוי פולשים $!$ פינוי פולשים תוך 30 ימים חוק המקרקעין $!$ שימוש בכוח סביר לפינוי פולשים
64,"מבחני לשכה, דין מהותי, אפריל 25",דוד הלך לעבודה וכשחזר לביתו לאחר 10 שעות נדהם לגלות כי משפחה של חסרי בית פלשה לדירתו. האם יכול בעל הבית להשתמש בכוח סביר כדי לפנות את הפולשים?,"בישראל, השימוש בכוח על ידי בעל בית כדי לפנות פולשים מדירתו הוא נושא משפטי מורכב, והחוק מגביל מאוד את היכולת לפעול באופן עצמאי במקרים כאלה. לפי החוק הישראלי, ובפרט על פי חוק המקרקעין, התשכ""ט-1969 וחוק ההוצאה לפועל, התשכ""ז-1967, בעל דירה אינו רשאי להשתמש בכוח פיזי או לפנות פולשים באופן עצמאי, גם אם מדובר בפלישה לא חוקית. פעולה כזו עלולה להיחשב כעבירה פלילית, כמו תקיפה או הפרת זכויות, ואף לחשוף את בעל הבית לתביעה אזרחית.",GROK,1,0,פינוי פולשים מדירה בישראל חוקית $!$ שימוש בכוח על ידי בעל דירה חוק המקרקעין $!$ בעל דירה מפנה פולשים חוק ההוצאה לפועל
65,"מבחני לשכה, דין מהותי, אפריל 25",,"בעל הדירה הוא הבעלים החוקי של הנכס, ולכן זכאי להגן על קניינו. עם זאת, החוק מחייב לפעול במסגרת החוק ולא באמצעות ""משפט עצמי"" (self-help). שימוש בכוח סביר עשוי להיות מותר רק במקרים חריגים של הגנה עצמית מיידית, כגון סכנה ברורה ומיידית לבעל הבית או לרכושו, וגם אז הכוח חייב להיות מידתי.
בעל הבית חייב לפנות למשטרה ולדווח על הפלישה. המשטרה עשויה להתערב במקרים של פלישה טרייה (למשל, אם הפלישה התרחשה ממש לאחרונה), אך לעיתים היא תפנה את בעל הבית להליך אזרחי. ההליך הנכון הוא הגשת תביעה לפינוי מוחזק (לפי סעיף 4 לחוק המקרקעין) בבית המשפט. תביעה זו מאפשרת לבעל הנכס לקבל צו פינוי נגד הפולשים. ההליך יכול להיות מהיר יחסית במקרים של פלישה ברורה. לאחר קבלת צו בית משפט, הפינוי מתבצע על ידי לשכת ההוצאה לפועל, ולא על ידי בעל הבית עצמו.",GROK,1,1,חוקיות שימוש בכוח לפינוי פולשים בישראל משפט עצמי $!$ סעיף 4 לחוק המקרקעין תביעה לפינוי מוחזק $!$ פלישה טרייה מתי המשטרה מתערבת בפינוי $!$ הליך פינוי פולשים לשכת ההוצאה לפועל
66,"מבחני לשכה, דין מהותי, אפריל 25",דוד הלך לעבודה וכשחזר לביתו לאחר 10 שעות נדהם לגלות כי משפחה של חסרי בית פלשה לדירתו. האם יכול בעל הבית להשתמש בכוח סביר כדי לפנות את הפולשים?,"במצב שבו אדם מגלה כי פולשים פלשו לדירתו בזמן היעדרותו, חשוב להבחין בין שני מקרים:
אם הפולשים חדרו זה עתה – כלומר הפלישה היא טרייה מאוד
בהתאם לסעיף 18 לחוק המקרקעין, בעל זכות במקרקעין רשאי להשתמש בכוח סביר כדי להחזיר לעצמו את ההחזקה שנשללה ממנו זה מקרוב, ובלבד שלא השתמש באלימות חמורה.
במקרה זה, אם דוד חזר מעבודתו וגילה כי במהלך ה-10 שעות נעשתה פלישה, ייתכן שהוא רשאי לפעול לפינוי הפולשים בכוח סביר בעצמו, למשל להוציאם בכוח לא מזיק ולקרוא למשטרה תוך כדי.
אם חלף זמן מה מאז הפלישה (למשל, ימים או שבועות)
ברגע שהחזקה נשללה ממנו לא ""זה מקרוב"", הוא אינו רשאי להשתמש בכוח, ויהיה עליו לפנות לבית המשפט כדי להגיש תביעה לפינוי פולשים (סילוק יד).
שימוש בכוח במצב זה עלול להיחשב לעבירה פלילית של תקיפה או הסגת גבול בעצמו.",GPT,1,0,סעיף 18 חוק המקרקעין שימוש בכוח סביר לפינוי פולשים $!$ פלישה טרייה לפינוי עצמי מול תביעה בבית משפט $!$ זכויות בעל מקרקעין בפינוי פולשים בישראל $!$ השלכות פליליות בשימוש בכוח לפינוי פולשים
67,"מבחני לשכה, דין מהותי, אפריל 25",דוד שהה בשנה האחרונה בארצות הברית. כשחזר לארץ נדהם לגלות כי משפחה של חסרי בית השתלטה על דירתו ומתגוררת בה כבר 7 חודשים. האם יכול בעל הבית להשתמש בכוח כדי לפנות את הפולשים?,"בישראל, בעל דירה אינו רשאי להשתמש בכוח עצמי כדי לפנות פולשים, גם אם הם פלשו שלא כדין לדירתו. הדין מחייב לפעול באמצעות הליך משפטי, ולא לקחת את החוק לידיים.
הסבר משפטי:
לפי הפסיקה והחוק בישראל (ובפרט לפי דיני המקרקעין וסעיפים בחוק המקרקעין התשכ""ט-1969), בעל מקרקעין יכול להגיש תביעה לסילוק יד (תביעה לפינוי פולשים), אך אסור לו לפנות אותם בכוח בעצמו, שכן פעולה כזו עלולה להיחשב לעבירה פלילית (למשל תקיפה, הסגת גבול, פגיעה ברכוש) ואף לחשוף אותו לתביעות נזיקין.",GPT,1,1,"שימוש בכוח עצמי לפינוי פולשים בישראל $!$ חוק המקרקעין התשכ""ט-1969 סעיף סילוק יד $!$ פסיקה שימוש בכוח עצמי לפינוי פולשים"
68,"מבחני לשכה, דין מהותי, אפריל 25",דוד שהה בשנה האחרונה בארצות הברית. כשחזר לארץ נדהם לגלות כי משפחה של חסרי בית השתלטה על דירתו ומתגוררת בה כבר 7 חודשים. האם יכול בעל הבית להשתמש בכוח כדי לפנות את הפולשים?,"לא, במקרה הנ""ל, בעל הבית אינו יכול להשתמש בכוח סביר כדי לפנות את הפולשים.
הסיבה לכך היא שעל פי סעיף 18(ב) לחוק המקרקעין, הזכות להשתמש בכוח סביר כדי לפנות פולש מוגבלת לשלושים ימים מיום התפיסה שלא כדין.
במקרה שלנן, הפולשים מתגוררים בדירתו כבר שבעה חודשים, לכן, חלף פרק הזמן שהחוק מקצה לשימוש עצמי בכוח.",Gemini,1,0,סעיף 18(ב) לחוק המקרקעין שימוש בכוח לפינוי פולש $!$ פינוי פולשים לאחר שלושה ימים חוק המקרקעין
69,"מבחני לשכה, דין מהותי, אפריל 25","שמשון הוזמן על ידי עורך הדין עאמר לתת עדות בתיק פלילי מורכב. בשיחת הטלפון הראשונה בין הצדדים הביע שמשון חשש שההגעה לבית המשפט המרוחק ממנו תהיה כרוכה בהוצאות בסך 300 שקלים, עורך הדין עאמר הבטיח לשמשון שישלם לו עבור עדותו סכום של 300 שקלים. מה הדין?","עורך דין אינו רשאי לשלם לעד על עדותו. כל תשלום לעד, למעט החזר הוצאות סביר, נחשב לעבירה של שיבוש הליכי משפט. הסיבה לכך היא שהתשלום עלול להשפיע על מהימנות העדות ולפגוע בעשיית הצדק. 
כללי לשכת עורכי הדין (אתיקה מקצועית), התשמ""ו-1986, קובעים באופן מפורש את האיסור על עורך דין לשלם לעד תמורה עבור עדותו.
כלל 35 לכללי לשכת עורכי הדין (אתיקה מקצועית) קובע:
""לא ישלם עורך דין, לא יציע לשלם ולא יתן יד לביצוע כל תשלום או תמורה אחרת לעד תמורת עדותו, אם תשלום זה מותנה בתוצאות המשפט.""",Gemini,1,1,כללי לשכת עורכי הדין אתיקה מקצועית סעיף 35 תשלום לעד אסור $!$ איסור תשלום לעד לשיבוש הליכי משפט
70,"מבחני לשכה, דין מהותי, אפריל 25",,"במקרה המתואר: הבטחתו של עורך הדין לשלם 300 ש""ח עבור העדות היא בעייתית. גם אם הסכום נועד לכסות הוצאות נסיעה, יש לדווח עליו כהחזר הוצאות ולא כתשלום עבור העדות עצמה. יתרה מכך, סביר להניח ששכר עדות בסך 300 ש""ח ייתפס כניסיון להשפיע על תוכן העדות, מה שעלול להוות עבירה פלילית.
החשש של שמשון מהוצאות: שמשון אכן זכאי להחזר הוצאות סבירות בגין התייצבותו בבית המשפט, כגון הוצאות נסיעה ואובדן ימי עבודה. הוצאות אלו משולמות בדרך כלל על ידי המדינה (בתיק פלילי) או על ידי הצד שזימן את העד (בתיק אזרחי).",Gemini,1,1,תשלום לעד עבור עדות בישראל חוקיות $!$ החזר הוצאות לעדים בבית משפט $!$ שכר עדות כהשפעה על עדות עבירה פלילית
71,"מבחני לשכה, דין מהותי, אפריל 25",,"לסיכום:
הבטחתו של עורך הדין עאמר לשלם לשמשון 300 ש""ח עבור עדותו מהווה בעיה משפטית חמורה, שעשויה להיחשב לשיבוש הליכי משפט.
שמשון זכאי להחזר הוצאותיו הסבירות בגין התייצבותו למתן עדות.
הפתרון הנכון היה שעורך הדין ינחה את שמשון להגיש בקשה להחזר הוצאות לבית המשפט או לגורם הרלוונטי, ולא יבטיח לו תשלום אישי עבור העדות.",Gemini,1,1,תשלום לעדים בעבירות שיבוש הליכי משפט בישראל $!$ החזר הוצאות עדות בישראל $!$ הוראות לשם תשלום לעדים בהליך משפטי
72,"מבחני לשכה, דין מהותי, אפריל 25","שמשון הוזמן על ידי עורך הדין עאמר לתת עדות בתיק פלילי מורכב. בשיחת הטלפון הראשונה בין הצדדים הביע שמשון חשש שההגעה לבית המשפט המרוחק ממנו תהיה כרוכה בהוצאות בסך 300 שקלים, עורך הדין עאמר הבטיח לשמשון שישלם לו עבור עדותו סכום של 300 שקלים. מה הדין?","על פי כללי לשכת עורכי הדין (אתיקה מקצועית), תשמ""ו-1986, ובפרט סעיף 35, עורך דין רשאי לשלם לעד עבור מתן העדות, כל עוד התשלום אינו מותנה בתוכן העדות או בתוצאות המשפט.",GROK,1,0,"כללי לשכת עורכי הדין תשמ""ו-1986 סעיף 35 תשלום לעדים $!$ אתיקה מקצועית תשלום עדות עורך דין בישראל"
73,"מבחני לשכה, דין מהותי, אפריל 25",,"במקרה זה, שמשון הביע חשש מהוצאות בסך 300 שקלים הכרוכות בהגעה לבית המשפט, ועורך הדין עאמר התחייב לשלם לו סכום זה. כל עוד התשלום לא מותנה בתוכן העדות או בתוצאות התיק הפלילי, התשלום מותר על פי כללי האתיקה.",GROK,1,0,"תשלום עדות 300 ש""ח כללי האתיקה לשכת עורכי הדין $!$ האם מותר לשלם לעד עבור הוצאות הגעה לבית משפט"
